epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3934.87,1.41009,1.41681,1.221,0.79131,0.36051,0.43025,0.32081,1.51877,1.42647,1.27803,0.000387678,0.000387678,0.000387678
56,3987.75,1.35979,1.35077,1.19974,0.74902,0.37249,0.42893,0.32261,1.50944,1.44533,1.28028,0.000379431,0.000379431,0.000379431
57,4040.7,1.38575,1.37888,1.216,0.76842,0.36902,0.43004,0.32401,1.50095,1.43097,1.27869,0.000371185,0.000371185,0.000371185
58,4093.48,1.39876,1.38409,1.21883,0.75019,0.37668,0.43059,0.32523,1.49812,1.43977,1.27618,0.000362938,0.000362938,0.000362938
59,4146.07,1.39683,1.3944,1.22022,0.78652,0.37924,0.44531,0.33475,1.45851,1.36858,1.2541,0.000354691,0.000354691,0.000354691
60,4198.93,1.36534,1.33307,1.19952,0.75487,0.38072,0.43716,0.33091,1.48132,1.40094,1.2642,0.000346445,0.000346445,0.000346445
61,4251.58,1.37934,1.38102,1.20966,0.77705,0.37314,0.43857,0.33198,1.4748,1.39198,1.26112,0.000338198,0.000338198,0.000338198
62,4305.18,1.37747,1.34093,1.19549,0.77403,0.37936,0.44125,0.3308,1.47886,1.383,1.25142,0.000329951,0.000329951,0.000329951
63,4358.78,1.37921,1.34841,1.20542,0.7818,0.37626,0.44425,0.33454,1.46012,1.38191,1.26184,0.000321705,0.000321705,0.000321705
64,4412.62,1.34437,1.31288,1.19158,0.74777,0.38845,0.443,0.33311,1.48193,1.39639,1.26346,0.000313458,0.000313458,0.000313458
65,4466.23,1.34982,1.31702,1.19291,0.74907,0.38532,0.44496,0.3395,1.45786,1.38267,1.25926,0.000305211,0.000305211,0.000305211
66,4520.17,1.3567,1.3251,1.1921,0.75952,0.39488,0.45342,0.34107,1.45102,1.35302,1.25115,0.000296964,0.000296964,0.000296964
67,4573.8,1.35076,1.31854,1.19647,0.7926,0.38691,0.4535,0.34436,1.43988,1.33537,1.246,0.000288718,0.000288718,0.000288718
68,4628.54,1.35005,1.33207,1.19926,0.74926,0.39712,0.45422,0.34355,1.43996,1.34752,1.24796,0.000280471,0.000280471,0.000280471
69,4684.68,1.33615,1.30442,1.18289,0.75767,0.40413,0.46124,0.34784,1.43159,1.31008,1.2277,0.000272224,0.000272224,0.000272224
70,4742.97,1.34174,1.30051,1.18347,0.79899,0.39263,0.46007,0.34917,1.42227,1.31972,1.23411,0.000263978,0.000263978,0.000263978
71,4800.44,1.34772,1.30028,1.19279,0.79811,0.40183,0.46691,0.35231,1.4135,1.28899,1.22911,0.000255731,0.000255731,0.000255731
72,4858.08,1.33253,1.28727,1.1785,0.79147,0.38636,0.45324,0.34454,1.43717,1.34223,1.24025,0.000247484,0.000247484,0.000247484
73,4915.03,1.30038,1.26925,1.17236,0.77782,0.4045,0.46607,0.35431,1.40371,1.30823,1.2246,0.000239238,0.000239238,0.000239238
74,4968.42,1.30618,1.26853,1.17392,0.77441,0.40806,0.46766,0.35466,1.40549,1.29468,1.22129,0.000230991,0.000230991,0.000230991
75,5022.2,1.32396,1.26767,1.17695,0.76306,0.4083,0.46975,0.35609,1.40309,1.29069,1.22283,0.000222744,0.000222744,0.000222744
76,5075.15,1.31443,1.26509,1.1756,0.76595,0.405,0.46453,0.35547,1.39923,1.29572,1.2217,0.000214497,0.000214497,0.000214497
77,5129.17,1.31042,1.25638,1.16889,0.7998,0.40262,0.47202,0.35902,1.39396,1.27067,1.2122,0.000206251,0.000206251,0.000206251
78,5181.71,1.29942,1.24198,1.16749,0.80301,0.40777,0.47407,0.36071,1.38967,1.27523,1.21376,0.000198004,0.000198004,0.000198004
79,5236.69,1.32518,1.27146,1.17429,0.7683,0.4093,0.46898,0.35575,1.40192,1.29064,1.21734,0.000189757,0.000189757,0.000189757
80,5289.81,1.30563,1.24508,1.16064,0.77825,0.40397,0.46706,0.35686,1.38623,1.29953,1.21103,0.000181511,0.000181511,0.000181511
81,5343.21,1.29917,1.24167,1.16257,0.78091,0.41034,0.47324,0.3597,1.39635,1.2819,1.21374,0.000173264,0.000173264,0.000173264
82,5396.48,1.29782,1.23416,1.16757,0.78026,0.40835,0.47287,0.3592,1.38859,1.28577,1.21052,0.000165017,0.000165017,0.000165017
83,5448.59,1.28318,1.21974,1.15758,0.80371,0.41585,0.48188,0.36648,1.37269,1.2469,1.20157,0.000156771,0.000156771,0.000156771
84,5500.32,1.2997,1.22991,1.16414,0.78703,0.4183,0.48216,0.36941,1.36105,1.24064,1.20366,0.000148524,0.000148524,0.000148524
85,5551.82,1.27088,1.19783,1.14995,0.79465,0.41604,0.48214,0.3699,1.36269,1.23414,1.20159,0.000140277,0.000140277,0.000140277
86,5603.37,1.28138,1.21218,1.15787,0.78062,0.41682,0.47644,0.36447,1.37185,1.26562,1.20587,0.000132031,0.000132031,0.000132031
87,5655.05,1.29976,1.22581,1.15749,0.7806,0.42552,0.48393,0.36959,1.36191,1.23808,1.20047,0.000123784,0.000123784,0.000123784
88,5707.26,1.26774,1.19113,1.14737,0.78547,0.42497,0.48568,0.37075,1.35661,1.22521,1.1966,0.000115537,0.000115537,0.000115537
89,5759.92,1.25732,1.17722,1.14772,0.80024,0.4208,0.48534,0.37262,1.35783,1.22666,1.19933,0.00010729,0.00010729,0.00010729
90,5812.82,1.2811,1.19521,1.15036,0.79519,0.42191,0.48391,0.37061,1.36027,1.23529,1.19583,9.90437e-05,9.90437e-05,9.90437e-05
91,5883.86,1.29215,1.21676,1.1794,0.80844,0.41178,0.47641,0.36385,1.3926,1.26979,1.21348,9.0797e-05,9.0797e-05,9.0797e-05
92,5931.89,1.28361,1.19025,1.17119,0.79677,0.42103,0.48108,0.36664,1.38046,1.25601,1.21024,8.25503e-05,8.25503e-05,8.25503e-05
93,5979.75,1.27031,1.18342,1.16851,0.8018,0.42204,0.48688,0.37141,1.36256,1.2181,1.19736,7.43036e-05,7.43036e-05,7.43036e-05
94,6027.92,1.28499,1.18733,1.174,0.77338,0.43471,0.48745,0.37228,1.36178,1.22207,1.19512,6.60569e-05,6.60569e-05,6.60569e-05
95,6076.03,1.27013,1.17053,1.16312,0.79858,0.42775,0.48948,0.37372,1.35196,1.21029,1.1942,5.78102e-05,5.78102e-05,5.78102e-05
96,6124.35,1.25078,1.14725,1.15939,0.80082,0.43072,0.49149,0.3744,1.35285,1.20544,1.19208,4.95635e-05,4.95635e-05,4.95635e-05
97,6173.12,1.25792,1.15684,1.16355,0.79955,0.43143,0.49365,0.37777,1.3414,1.19124,1.18687,4.13168e-05,4.13168e-05,4.13168e-05
98,6221.5,1.26181,1.16301,1.16451,0.7955,0.43039,0.49377,0.37772,1.3441,1.19262,1.18745,3.30701e-05,3.30701e-05,3.30701e-05
99,6269.88,1.23721,1.12752,1.15436,0.80218,0.43071,0.49445,0.3789,1.34092,1.19035,1.18481,2.48234e-05,2.48234e-05,2.48234e-05
100,6318.18,1.23827,1.13695,1.15423,0.79657,0.43267,0.49609,0.38001,1.33657,1.1828,1.18306,1.65767e-05,1.65767e-05,1.65767e-05
